Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
128-386-191-905-423,RVAFM: Re-parameterizing Vertical Attention Fusion Module for handwritten paragraph text recognition,,2026,journal article,Information Fusion,15662535; 18726305,Elsevier BV,Netherlands,Jinhui Zheng; Zhiquan Liu; Yain-Whar Si; Jianqing Li; Xinyuan Zhang; Xiaofan Li; Haozhi Huang; Xueyuan Gong,,125,,103491,103491,Paragraph; Computer science; Speech recognition; Artificial intelligence; Natural language processing; Fusion; Pattern recognition (psychology); Linguistics; World Wide Web; Philosophy,,,,Jinan University; National Natural Science Foundation of China; National Natural Science Foundation of China; Basic and Applied Basic Research Foundation of Guangdong Province,,http://dx.doi.org/10.1016/j.inffus.2025.103491,,10.1016/j.inffus.2025.103491,,,0,002-939-406-282-04X; 010-881-186-573-195; 014-873-940-449-475; 020-233-013-143-936; 023-603-836-751-187; 027-136-469-817-230; 028-037-370-771-802; 044-481-468-007-459; 052-041-976-196-592; 063-085-987-202-357; 066-087-686-931-538; 068-307-088-535-804; 071-775-463-092-087; 079-310-940-223-758; 087-813-951-014-630; 102-215-817-780-643; 114-954-394-666-703; 136-184-718-077-447; 156-796-045-333-719; 180-559-374-049-445; 184-930-163-643-371,1,false,,
128-521-540-029-097,Driver Interaction Intent Prediction With Dynamic Scene Semantic Fusion for Intelligent Cockpit,,2026,journal article,IEEE Transactions on Industrial Informatics,15513203; 19410050,Institute of Electrical and Electronics Engineers (IEEE),United States,Hongyu Hu; Xin Qiao; Zhiwen Wei; Duo Peng; Changjia Tian; Rui Zhao; Fei Gao,"Driver interaction intent prediction is one of the core technologies enabling intelligent cockpits to transition from passive response to proactive service. Existing intent prediction methods mainly model for single service functions and are deficient in generalization of cross-functional prediction and generalized temporal prediction models predominantly neglect the spatio-temporal (ST) causal relationships between dynamic evolution of scenes and interaction intents, resulting in compromised prediction efficacy within complex environments. To address the above limitations, we propose a driver interaction intent prediction framework with scene semantic fusion in intelligent cockpits. The methodology involves three key stages: first, extracting temporal patterns from cockpit interaction sequences via LSTM networks, second, converting driving dynamics data into structured scene semantic text through parameter efficient fine-tuning of large language models (LLM), and third, establishing collaborative representations of interaction behavioral features and scene information based on scene-guided attention fusion mechanism to achieve accurate driver interaction intent prediction. Experimental results demonstrate that our method has superior performance compared with other methods, with Precision, Recall, F1-score, and Accuracy values of 0.8416, 0.7842, 0.8045, and 0.7948, respectively. In particular, the introduction of scene semantic information can effectively trace the motivating source of the driver interaction intent generation and effectively enhance the interpretability of the model. This research establishes a technical foundation for implementing personalized proactive services in intelligent cockpits.",,,1,12,Computer science; Interpretability; Cockpit; Human–computer interaction; Sensor fusion; Artificial intelligence; Key (lock); TRACE (psycholinguistics); Perspective (graphical); Fusion mechanism; Generalization; Advanced driver assistance systems; Intelligence analysis; Semantics (computer science); Machine learning; Intelligent agent; Service (business); Situation awareness; Vocabulary; Interaction information; Semantic data model; Information fusion; Multimodal interaction; Modality (human–computer interaction); Data modeling; Exploit; Fusion; Visualization; Field (mathematics); Interaction design,,,,National Natural Science Foundation of China; Science and Technology Development Project of Jilin province,,http://dx.doi.org/10.1109/tii.2025.3642533,,10.1109/tii.2025.3642533,,,0,,0,false,,
128-755-155-778-958,"Corrigendum to ""Diffusion models for multivariate subsurface generation and efficient probabilistic inversion"" [Computers & Geosciences 207 (2026) 106076]",2026-02-01,2026,journal article,Computers & Geosciences,00983004; 18737803,Elsevier BV,United Kingdom,Roberto Miele; Niklas Linde,,211,,106138,106138,Probabilistic logic; Multivariate statistics; Computer science; Data mining; Geology; Algorithm; Statistical model; Probabilistic classification; Uncertainty quantification; Probabilistic method,,,,,,http://dx.doi.org/10.1016/j.cageo.2026.106138,,10.1016/j.cageo.2026.106138,,,0,,0,false,,
128-969-432-213-634,Agentic AI Service Architecture Based on SOA,2026-01-29,2026,journal article,Journal of Web Engineering,15445976; 15409589,River Publishers,United States,Dong Bin Choi; Yunhee Kang; Young B. Park,"<jats:p>Service-Oriented Architecture (SOA) structures applications into collections of modular, independent, and reusable services. We propose an SOA-based intelligent service agent framework for building AI applications that decomposes complex tasks into independent functional units. In the framework, the agent operates as an intelligent executor that dynamically orchestrates and invokes diverse services and tools to achieve its goals. The agent is exposed as a self-contained service with a well-defined API, allowing external applications to invoke it directly. By instrumenting requests and responses at both the service and agent layers, the framework enables tracing of the agent’s capabilities, performance, and decision-making. We present the design of an operational scheme for the agent with DID handling, verifiable credentials (VC), and verifiable presentations (VP). Each of the agents collaborates on a shared workspace based on blackboard to handle tasks to reach a goal. Finally, we demonstrate its feasibility through a proof-of-concept (PoC) for Agentic AI service architecture. This proof-of-concept, structured across Phase 1 (discovery, verification, and scoped authorization) and Phase 2 (problem posting and blackboard-mediated collaboration), demonstrates that DID-backed credentialing can securely support multi-agent execution under a least-privilege operational model.</jats:p>",,,,,Computer science; Executor; Service (business); Blackboard (design pattern); Service-oriented architecture; Verifiable secret sharing; Software engineering; Distributed computing; Architecture; Workflow; Web service; Blackboard system; Agent architecture; Tracing; Intelligent agent; Multi-agent system; Scheme (mathematics); Human–computer interaction; Stateful firewall; Software agent; Workspace; Turing; Autonomous agent; Emulation; Middleware (distributed applications); Software architecture; World Wide Web; Fidelity,,,,,https://journals.riverpublishers.com/index.php/JWE/article/download/31509/23331 https://doi.org/10.13052/jwe1540-9589.2511,http://dx.doi.org/10.13052/jwe1540-9589.2511,,10.13052/jwe1540-9589.2511,,,0,,0,true,,gold
129-124-790-682-643,TinyLSN: A Lightweight Network for Real-Time Marine Pipeline Leakage Detection in IoT Systems,,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Yuchen Lu; Yuxuan Zhang; Hongbing Liu; Sebastian Bader,"Intelligent acoustic emission-based pipeline leak detection technology plays a critical role in Internet of Things structural health monitoring for offshore platforms. However, traditional deep networks possess large parameter counts and high computational complexity, making them infeasible for deployment on resource-constrained edge nodes, while lightweight methods universally adopt single-scale feature extraction and cannot simultaneously capture short-duration burst and long-range attenuation characteristics of acoustic emission signals, resulting in insufficient discriminative capability for adjacent valves. To address this, this paper proposes Tiny Leak Sense Net (TinyLSN), a novel lightweight leak localization framework specifically designed for Internet of Things edge nodes. TinyLSN achieves optimal balance between computational efficiency and detection performance through three innovative components we designed including the Inverted Residual Block (IRB), Multi-Scale Dilated Perception Module (MSDPM), and Large Kernel Feed-Forward Network (LK-FFN), which respectively enhance cross-channel interactions, capture multi-scale temporal features, and extract global attenuation patterns. On our self-constructed experimental dataset simulating real offshore platform operational pipeline leakage, TinyLSN achieved detection accuracy of 97.11% to 97.45% and an extremely low false positive rate of 0.27% to 0.32%, significantly outperforming lightweight baseline methods. Validation on publicly available benchmark datasets further confirmed its generalization capability. When deployed on the STM32H7B3I-DK microcontroller, TinyLSN requires only 267.16 KiB Flash memory and achieves 3.417 ms inference latency. Furthermore, TinyLSN maintains over 90% accuracy under strong noise and achieves 94.83% accuracy with only 10% training samples, fully validating its reliability in harsh industrial environments and providing an efficient and feasible solution for offshore platform Internet of Things edge intelligence.",,,1,1,Computer science; Edge computing; Real-time computing; Edge device; Pipeline (software); Pipeline transport; Benchmark (surveying); Enhanced Data Rates for GSM Evolution; Residual; Feature extraction; Data mining; Constant false alarm rate; Artificial intelligence; Embedded system; Software deployment; Wireless sensor network; Discriminative model; Robustness (evolution); Reliability (semiconductor); Probabilistic logic; Kernel (algebra); Support vector machine; Inference; Deep learning; Wearable computer,,,,Natural Science Foundation of Shandong Province; Taishan Industry Leading Talents; Key Technology Research and Development Program of Shandong Province; Knowledge Foundation; Knowledge Foundation,,http://dx.doi.org/10.1109/jiot.2026.3665050,,10.1109/jiot.2026.3665050,,,0,,0,false,,
129-467-255-858-218,The prediction model of higher vocational students' classroom participation based on the fusion of deep learning and support vector machine,,2026,journal article,International Journal of Information and Communication Technology,14666642; 17418070,Inderscience Publishers,United Kingdom,Yixuan Qiang,,27,9,1,17,Computer science; Vocational education; Artificial intelligence; Deep learning; Support vector machine; Machine learning; Fusion; Information fusion; Natural language processing; Data mining,,,,,https://doi.org/10.1504/ijict.2026.151650,http://dx.doi.org/10.1504/ijict.2026.151650,,10.1504/ijict.2026.151650,,,0,,0,true,,bronze
129-686-839-715-165,Enabling OTFS for Hypersonic Aircraft Over LEO Satellite: A 3D System Model and Differential Delay-Doppler Pilot,,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Wenliang Lin; Wenjia Wang; Ke Wang; Zhongliang Deng; Da Wan; Yaohua Deng; Zibo Feng; Zhengdao Fan; Senchao Deng,"The integration of Low-Earth Orbit (LEO) satellites with hypersonic aircraft presents a critical frontier for next-generation non-terrestrial networks (NTN). However, the ultra-high dynamics inherent in these scenarios introduce severe Doppler frequency shifts and time-varying delays, significantly degrading link reliability. To address these challenges, this article proposes a robust Orthogonal Time Frequency Space (OTFS) communication framework tailored for hypersonic-LEO links. First, we establish a three-dimensional (3D) kinematic model based on the Earth-Centered Inertial (ECI) coordinate system. This model accurately characterizes the dynamic delay-Doppler (DD) channel features across the aircraft’s ascent, cruise, and descent phases. Guided by these channel insights, we develop a phase-adaptive dynamic pilot design scheme that jointly optimizes pilot position, pilot power, pilot quantity, and guard intervals to maximize spectral efficiency and estimation accuracy. Furthermore, leveraging the temporal correlation of the OTFS channel in the DD domain, we propose a Multi-Frame Joint Cross-Correlation Matching (MF-JCM) channel estimation algorithm. This algorithm aggregates multi-frame channel responses to suppress noise and enhance detection probability. Simulation results demonstrate that the proposed scheme achieves a Bit Error Rate (BER) of 10<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">−4</sup> at an signal-to-noise ratio (SNR) of 7.5 dB in the ascent phase and 11 dB in the descent phase. Hardware experiments based on Software-Defined Radio (SDR) further validate the feasibility and superiority of the proposed approach in practical ultra-high dynamic scenarios.",,,1,1,Computer science; Channel (broadcasting); Orthogonal frequency-division multiplexing; Coordinate descent; Hypersonic speed; Kinematics; Control theory (sociology); Electronic engineering; Telecommunications link; Noise (video); Doppler effect; Spectral efficiency; Near space; Gradient descent; Payload (computing); Signal-to-noise ratio (imaging); Bit error rate; Joint (building); Real-time computing; Simulation; MIMO; Algorithm; Guard interval; Differential phase; Scheme (mathematics); Coordinate system; NASA Deep Space Network; Estimation theory; System model,,,,Beijing Natural Science Founda tion; Natural Science Foundation of Chongqing Province,,http://dx.doi.org/10.1109/jiot.2025.3650641,,10.1109/jiot.2025.3650641,,,0,,0,false,,
129-834-630-940-013,Analysis Methodology for Age of Information under Sequence Based Scheduling,,2026,journal article,IEEE Transactions on Information Theory,00189448; 15579654,Institute of Electrical and Electronics Engineers (IEEE),United States,Fang Liu; Wing Shing Wong; Yuan-Hsun Lo; Yijin Zhang; Chung Shue Chen,"We focus on the Age of Information (AoI) performance in a system where each user generates packets periodically to send to a common access point (AP) for status updating. To avoid heavy overhead, we assume that channel sensing, feedback information from the AP, and time synchronization are not available in the system. We adopt a multi-access scheme called the sequence scheme, where each user is assigned a periodic binary sequence to schedule their transmissions. In our previous work, we have thoroughly studied the AoI performance under the sequence scheme when the sequence period, <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">L</i>, is equal to the status generating period, <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">T</i>. However, the case of <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">T</i> ̸= <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">L</i> is not covered by the previous work. Therefore, in this paper, we aim at analyzing the AoI performance for general values of <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">T</i> and <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">L</i>, which is more challenging and requires different approaches. We conduct in-depth analysis and develop a mathematical tool based on integer partitions to facilitate the analysis. We derive low-complexity closed-form expressions for two special cases. Based on the obtained analytical results, we propose an optimization method for parameter selection in sequence construction to minimize the average AoI. Finally, we compare our proposed sequence scheme with two commonly used baselines, and show that our proposed scheme outperforms the baselines in terms of AoI performance while consuming less energy.",,,1,1,Computer science; Sequence (biology); Scheduling (production processes); Synchronization (alternating current); Binary number; Schedule; Scheme (mathematics); Focus (optics); Pseudorandom binary sequence; Network packet; Algorithm; Job shop scheduling; Selection (genetic algorithm); Data mining; Point (geometry); Integer (computer science); Channel (broadcasting); Mathematical optimization; Contrast (vision); Real-time computing; Entropy (arrow of time),,,,,,http://dx.doi.org/10.1109/tit.2026.3667001,,10.1109/tit.2026.3667001,,,0,,0,false,,
130-171-783-987-331,"Passive
                    <i>LC</i>
                    Relay Network-Enabled Battery-Free Chipless IoT Smart Clothing for Simultaneous Multisite Hemodynamic Monitoring",2026-03-01,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Guan-Lin Su; En-Zhu Lyu; Ting-Wei Wang,"Smart clothing has emerged as a promising IoT-based healthcare platform by enabling distributed physiological sensing through body sensor networks (BSN). However, most systems rely on embedded chips and batteries, increasing complexity, weight, and cost that limit practicality. We present a battery-free chipless smart clothing that integrates thermoplastic polyurethane (TPU)-encapsulated passive LC relay networks to establish magnetic coupling between an external sensor reader and underlying arteries. Arterial pulsations induce resonant frequency shifts in the coupled system, enabling real-time pulse signal detection. Each sensing coil of passive LC relay networks is positioned at carotid, heart, radial, and femoral arteries, and four pickup coils are routed to a centralized hub on the upper left arm. A lightweight wireless reader with four channels simultaneously acquires multi-site physiological signals. Importantly, passive LC relay networks serve as magnetic field repeaters, enhancing magnetic coupling across extended distances. By matching resonant frequencies of passive LC relay networks and sensor reader at 7.3 MHz, the system achieved a power transfer efficiency (PTE) of 46.56 %, clearly outperforming the capacitor-free configuration, which yielded only 6 %. Notably, a minimum PTE threshold of 0.24 % was established for distinguishable pulse detection. The system showed robustness after water-spray exposure and supported signal acquisition through outer garments up to 21.22 mm thick between sensor reader and centralized hub, confirming resilience to sweat and compatibility with layered clothing. Overall, our battery-free chipless BSN offers lightweight, low-cost, and disposable smart clothing solutions for simultaneous multi-site hemodynamic monitoring, potentially calculating pulse wave velocity for peripheral vascular stiffness assessment.",13,5,10076,10099,Relay; Computer science; Robustness (evolution); Electrical engineering; Wireless; Wearable computer; Wireless sensor network; Chipless RFID; Inductive coupling; Electromagnetic coil; Electronic engineering; Radio frequency; Microcontroller; Sensor node; SIGNAL (programming language); Wireless power transfer; Coupling (piping); Bluetooth; Acoustics; Internet of Things; Resonator; Power (physics); Interference (communication); Bandwidth (computing); Pulse (music),,,,National Science and Technology Council of Taiwan; National Science and Technology Council of Taiwan,,http://dx.doi.org/10.1109/jiot.2025.3647891,,10.1109/jiot.2025.3647891,,,0,000-300-536-637-865; 000-431-180-457-336; 000-624-088-307-539; 006-782-411-718-509; 006-872-865-322-268; 008-547-806-205-719; 010-661-580-849-837; 011-393-761-846-297; 012-788-796-604-303; 013-264-417-103-04X; 016-640-993-854-12X; 017-498-762-181-863; 018-646-953-762-837; 020-095-017-347-378; 022-711-091-065-992; 025-949-534-940-91X; 028-231-311-914-219; 030-114-428-668-276; 032-007-171-000-156; 032-131-367-340-396; 035-396-606-092-709; 036-206-408-342-224; 041-910-517-103-812; 042-621-765-234-34X; 043-311-319-917-530; 044-026-233-833-612; 044-115-376-206-813; 051-277-710-995-21X; 055-285-445-500-815; 068-529-453-587-80X; 073-911-681-235-230; 079-899-693-295-651; 082-382-269-451-746; 082-462-597-789-818; 097-537-845-755-050; 099-368-246-281-971; 104-122-454-500-20X; 112-938-259-632-321; 117-490-048-251-704; 119-600-737-519-638; 121-246-337-501-992; 121-528-989-655-685; 124-867-786-723-719; 135-884-046-915-33X; 145-658-448-473-797; 145-830-751-346-696; 146-160-097-448-917; 160-904-918-325-794; 164-413-904-040-826; 168-717-604-994-79X; 170-820-045-358-013; 171-131-806-116-389; 173-053-485-535-76X; 177-014-124-930-290; 185-486-094-258-370; 199-978-278-271-747,0,false,,
130-231-819-219-564,Asymmetric deviation entropy regularization for semi-supervised fuzzy C-means clustering and its fast Algorithm,,2026,journal article,Big Data Research,22145796; 2214580x,Elsevier BV,United States,Chengmao Wu; Jun Hou,,43,,100586,100586,Cluster analysis; Computer science; Entropy (arrow of time); Regularization (linguistics); Algorithm; Fuzzy logic; Fuzzy clustering; Big data; Artificial intelligence; Pattern recognition (psychology); Mathematics; Data mining; Binary entropy function; Fuzzy set,,,,Education Department of Shaanxi Provincial government; Shaanxi Province Natural Science Foundation,,http://dx.doi.org/10.1016/j.bdr.2025.100586,,10.1016/j.bdr.2025.100586,,,0,000-207-559-313-71X; 002-440-858-858-940; 004-892-691-560-789; 009-767-785-971-270; 011-548-500-407-118; 011-709-818-396-29X; 013-768-215-073-400; 013-861-092-799-645; 019-710-601-708-175; 024-489-784-041-027; 031-242-109-156-292; 031-245-840-225-422; 034-143-251-850-598; 036-051-611-005-65X; 036-828-708-510-601; 039-085-838-500-449; 050-514-958-071-408; 055-694-436-326-509; 055-701-076-092-931; 056-550-957-590-122; 058-043-163-108-230; 059-143-063-795-955; 064-072-423-996-116; 083-106-300-241-831; 086-023-709-463-080; 089-165-378-475-900; 090-479-524-444-406; 097-415-642-696-550; 097-919-635-443-079; 100-928-261-500-833; 101-492-642-799-957; 104-222-654-830-842; 111-741-426-021-080; 117-471-603-805-304; 133-181-330-665-565; 133-705-172-215-888; 141-175-238-413-057; 146-618-670-762-100; 148-147-827-617-310; 159-415-230-230-698; 160-579-103-790-533; 166-764-101-150-957; 173-432-300-428-141; 180-374-075-623-653; 185-996-337-556-883,0,false,,
130-370-348-651-544,MediQAl: A French Medical Question Answering Dataset for Knowledge and Reasoning Evaluation.,2026-02-05,2026,journal article,Scientific data,20524463,Springer Science and Business Media LLC,United Kingdom,Adrien Bazoge,"This work introduces MediQAl, a French medical question answering dataset designed to evaluate the capabilities of language models in factual medical recall and reasoning over real-world clinical scenarios. MediQAl contains 32,603 questions sourced from French medical examinations across 41 medical subjects. The dataset includes three tasks: (i) Multiple-Choice Question with Unique answer, (ii) Multiple-Choice Question with Multiple answer, and (iii) Open-Ended Question with Short-Answer. Each question is labeled as Understanding or Reasoning, enabling a detailed analysis of models' cognitive capabilities. We validate the MediQAl dataset through extensive evaluation with 14 large language models, including recent reasoning-augmented models, and observe a significant performance gap between factual recall and reasoning tasks. Our evaluation provides a comprehensive benchmark for assessing language models' performance on French medical question answering, addressing a crucial gap in multilingual resources for the medical domain.",13,1,,,Computer science; Question answering; Recall; Benchmark (surveying); Natural language processing; Cognition; Artificial intelligence; Unified Medical Language System; Data science; Information retrieval; Precision and recall; Medical knowledge; Medical information; MEDLINE; Model-based reasoning; Medical record; Language model; Medical literature; Questions and answers; Medical research,,,,Agence Nationale de la Recherche (French National Research Agency) (ANR-23-IAS1-0005),https://www.nature.com/articles/s41597-026-06680-y_reference.pdf https://doi.org/10.1038/s41597-026-06680-y,http://dx.doi.org/10.1038/s41597-026-06680-y,41639129,10.1038/s41597-026-06680-y,,,0,000-904-440-717-34X; 016-844-806-775-894; 033-373-782-144-892; 045-066-548-929-080; 045-905-846-851-677; 052-376-842-486-206; 056-012-069-300-774; 071-299-319-269-330; 073-498-875-187-437; 074-325-453-953-809; 077-773-984-632-420; 081-011-968-864-794; 112-600-356-509-466; 123-636-229-399-309; 130-508-057-017-104; 130-895-101-261-052; 132-479-810-531-035; 168-141-646-249-051; 171-918-941-391-147; 195-706-909-301-830,0,true,"CC BY, CC BY-NC-ND",gold
130-442-968-011-142,EdgeSim: Firmware vulnerability detection with control transfer-enhanced binary code similarity detection,2026-01-18,2026,journal article,Information and Software Technology,09505849; 18736025,Elsevier BV,Netherlands,Li Liu; Shen Wang; Xunzhi Jiang,,192,,108020,108020,Computer science; Firmware; Data mining; Binary code; Graph; Semantics (computer science); Theoretical computer science; Binary number; Block (permutation group theory); Compiler; Source code; Similarity (geometry); Control flow graph; Code (set theory); Metric (unit); Aggregate (composite); Reuse; Artificial intelligence; Vulnerability (computing); Control (management); Rank (graph theory); Node (physics),,,,Natural Science Foundation of Heilongjiang Province; National Defense Basic Scientific Research Program of China,,http://dx.doi.org/10.1016/j.infsof.2026.108020,,10.1016/j.infsof.2026.108020,,,0,031-755-453-746-826; 037-650-297-826-265; 044-692-024-531-380; 122-480-387-785-446,0,false,,
130-599-210-928-980,Covert Transmission for H <sup>2</sup> AD MIMO-Based ISAC Systems with Deep Reinforcement Learning,2026-01-01,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers Inc.,United States,Qi Zhang; Ting Su; Wei Gao; Yu Yao; Feng Shu; Jiajia Liu,"A covert ISAC transmission scheme based on an innovative heterogeneous sub-connected hybrid analog and digital (H<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup>AD) multiple-input multiple-output (MIMO) transceiver is investigated in this paper. Specifically, H<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup>AD ISAC system possesses the capability to detect the point-like target while covertly transmitting confidential information to a singleantenna legitimate user, and enabling secure transmission without detection by the warden. The objective is to maximize the covert transmission rate for legitimate users while adhering to the Cramér-Rao bound (CRB) threshold. However, due to the coupling of multiple variables under the H<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup>AD transceiver framework, the optimization problem becomes non-convex. To tackle the challenging, an alternating optimization algorithm based on Dinkelbach’s transformation and semidefinite relaxation (DTSDR) is proposed to design the analog and digital beamforming along with the sensing signal. Then, by utilizing historical system states and optimizing for long-term returns, an improved distributional soft Actor-Critic with three refinements (DSACv2) algorithm framework based on deep reinforcement learning (DRL) is proposed. Simulation results demonstrate that incorporating the novel H<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup>AD MIMO antenna array into ISAC system design enhances the covert performance while ensuring target sensing performance.",,,1,1,Computer science; Transmission (telecommunications); Reinforcement learning; Beamforming; Transceiver; Transmitter; Digital subscriber line; Covert; Optimization problem; Artificial noise; MIMO; Computer engineering; Real-time computing; Data transmission; Benchmark (surveying); Decoding methods; Relaxation (psychology); Electronic engineering; Asynchronous communication; Computer network; Wireless; Secure transmission; Communications system; Throughput; Gigabit; Transformation (genetics),,,,,,,,,,,0,,0,false,,
130-778-271-443-657,Guardnet: an imbalance-aware graph neural network for fraud detection,2026-01-23,2026,journal article,Data Mining and Knowledge Discovery,13845810; 1573756x,Springer Science and Business Media LLC,Netherlands,Yuhao Chen; Fanwei Zhu; Zengwei Zheng; Jianhua Ma; Binbin Zhou,,40,2,,,Computer science; Robustness (evolution); Data mining; Graph; Machine learning; Encoder; Artificial intelligence; Construct (python library); Artificial neural network; Focus (optics); Code (set theory); Safeguarding; Semantics (computer science); Knowledge graph; Financial fraud; RDF; Pattern recognition (psychology),,,,Natural Science Foundation of Zhejiang Province; Natural Science Foundation of Zhejiang Province; National Key Research and Development Program of China; National Key Research and Development Program of China; “Pioneer” and “Leading Goose” R&D Program of Zhejiang; National Natural Science Foundation of China; Scientific Research Cultivation Fund of Hangzhou City University,,http://dx.doi.org/10.1007/s10618-025-01181-9,,10.1007/s10618-025-01181-9,,,0,000-524-338-757-738; 003-004-918-581-396; 006-208-011-888-887; 012-521-000-695-172; 017-993-507-973-52X; 023-423-933-108-697; 027-137-752-854-058; 028-401-971-371-511; 035-277-967-833-996; 035-434-657-577-217; 044-270-167-471-24X; 044-716-054-798-397; 057-687-416-723-555; 062-610-936-672-208; 066-798-232-646-995; 073-253-100-089-529; 088-898-542-652-668; 094-175-215-344-922; 102-039-090-184-946; 106-452-673-400-588; 113-271-353-319-861; 116-696-427-436-220; 118-459-123-973-514; 122-761-524-064-903; 130-804-676-408-119; 132-591-133-047-317; 133-124-333-364-329; 133-936-690-793-344; 139-769-753-367-127; 147-872-444-722-629; 150-307-137-167-596; 163-817-688-402-080; 164-378-805-781-337; 185-537-812-763-126; 199-706-603-261-325,0,false,,
130-966-872-217-08X,Human Activity Recognition Dataset for Pedestrians with Mobility Disabilities.,2026-01-03,2026,journal article,Scientific data,20524463,Springer Science and Business Media LLC,United Kingdom,Yeji Woo; Sungjin Hwang; Seungwoo Oh; Myungwon Kang; Sungyoon Lee; Jieun Kim; Jaehyuk Cha; Kwanguk Kenny Kim,"Human activity recognition (HAR) provided several benefits to people without disabilities. Researchers have provided public HAR datasets and developed technologies based on these datasets. However, the activities of pedestrians with mobility disabilities have not been actively investigated because related datasets do not exist. In this study, we compile an HAR dataset comprising basic activities for people with and without mobility disabilities (including activity categories of still, walking, crutches, walkers, manual wheelchairs, and electric wheelchairs). Our dataset contains sensor data from smart devices (smartphones and smartwatches) collected from 120 participants. We also provide baseline analyses of our dataset: (1) recognition tasks according to the pedestrian activities, (2) impact of sensor combinations, (3) classification models, (4) evaluation methods, and (5) combining smartphone and smartwatch sensors. The results indicate that the classification accuracies are 99.64% for the random evaluation and 98.79% for the user-independent evaluation using the best combinations. We hope that this study will expand HAR research for people with mobility disabilities and renew enthusiasm for subsequent applications related to this topic.",13,1,211,211,Activity recognition; Computer science; Pedestrian; Baseline (sea); Human–computer interaction; Smartwatch; Machine learning; Support vector machine; Artificial intelligence; Random forest; Data science; Activities of daily living; Enthusiasm; Disabled people; Physical activity; Mobility model; Public transport; Citizen science; Individual mobility; World Wide Web,Quality of life; Rehabilitation,Humans; Pedestrians; Persons with Disabilities; Smartphone; Mobility Limitation; Walking; Human Activities/classification,,,https://www.nature.com/articles/s41597-025-06527-y_reference.pdf https://doi.org/10.1038/s41597-025-06527-y,http://dx.doi.org/10.1038/s41597-025-06527-y,41484126,10.1038/s41597-025-06527-y,,PMC12890990,0,000-987-779-771-229; 003-535-717-416-450; 003-821-020-591-088; 004-516-985-967-876; 005-330-969-529-607; 007-634-786-397-280; 008-173-930-496-193; 008-287-304-532-80X; 012-414-949-259-285; 016-165-840-216-135; 018-071-945-840-60X; 020-578-069-203-823; 023-928-444-110-407; 027-200-735-684-439; 029-836-186-399-77X; 032-604-722-261-009; 036-232-449-708-383; 038-084-143-107-471; 041-321-671-101-318; 042-368-108-555-948; 048-915-547-176-171; 050-878-685-557-134; 051-243-572-590-429; 053-097-517-371-776; 057-884-711-017-883; 064-535-527-003-236; 067-732-767-093-287; 072-918-755-632-016; 076-895-587-788-105; 079-784-335-766-142; 080-262-385-158-767; 081-454-650-975-390; 088-424-042-717-854; 088-603-321-677-465; 089-983-403-773-948; 091-492-177-865-216; 092-564-408-629-605; 106-077-147-783-88X; 106-782-417-009-071; 111-360-930-591-470; 112-391-656-663-117; 118-396-114-741-193; 119-664-768-159-404; 123-498-859-171-509; 125-743-939-098-574; 130-966-872-217-08X; 142-084-487-763-341; 149-585-699-014-836; 155-452-866-470-619; 162-677-564-515-288; 166-348-560-640-848; 177-571-915-309-750; 186-551-029-566-128,1,true,"CC BY, CC BY-NC-ND",gold
